Carrier,OriginAirportID,DestAirportID,OriginAirportName,DestAirportName,OriginState,DestState,OriginCity,DestCity,DepDelay,ArrDelay
DL,10397,15376,Hartsfield-Jackson Atlanta International,Tucson International,GA,AZ,Atlanta,Tucson,0,-23
DL,15376,10397,Tucson International,Hartsfield-Jackson Atlanta International,AZ,GA,Tucson,Atlanta,-4,1
DL,10397,12191,Hartsfield-Jackson Atlanta International,William P Hobby,GA,TX,Atlanta,Houston,-4,-17
DL,14747,12478,Seattle/Tacoma International,John F. Kennedy International,WA,NY,Seattle,New York,80,85
DL,10721,11433,Logan International,Detroit Metro Wayne County,MA,MI,Boston,Detroit,-5,-20
DL,12892,15304,Los Angeles International,Tampa International,CA,FL,Los Angeles,Tampa,-2,-12
DL,12953,10397,LaGuardia,Hartsfield-Jackson Atlanta International,NY,GA,New York,Atlanta,-5,-12
DL,10397,13198,Hartsfield-Jackson Atlanta International,Kansas City International,GA,MO,Atlanta,Kansas City,24,11
DL,13198,10397,Kansas City International,Hartsfield-Jackson Atlanta International,MO,GA,Kansas City,Atlanta,2,-5
DL,10397,14908,Hartsfield-Jackson Atlanta International,John Wayne Airport-Orange County,GA,CA,Atlanta,Santa Ana,10,-6
DL,14869,13796,Salt Lake City International,Metropolitan Oakland International,UT,CA,Salt Lake City,Oakland,-13,-17
DL,12892,10397,Los Angeles International,Hartsfield-Jackson Atlanta International,CA,GA,Los Angeles,Atlanta,-1,-11
DL,10397,12892,Hartsfield-Jackson Atlanta International,Los Angeles International,GA,CA,Atlanta,Los Angeles,1,-15
DL,11433,10397,Detroit Metro Wayne County,Hartsfield-Jackson Atlanta International,MI,GA,Detroit,Atlanta,0,-9
DL,10397,12451,Hartsfield-Jackson Atlanta International,Jacksonville International,GA,FL,Atlanta,Jacksonville,7,2
DL,12451,10397,Jacksonville International,Hartsfield-Jackson Atlanta International,FL,GA,Jacksonville,Atlanta,-5,-4
DL,10397,13851,Hartsfield-Jackson Atlanta International,Will Rogers World,GA,OK,Atlanta,Oklahoma City,3,-11
DL,13244,12953,Memphis International,LaGuardia,TN,NY,Memphis,New York,-2,-20
DL,10397,12339,Hartsfield-Jackson Atlanta International,Indianapolis International,GA,IN,Atlanta,Indianapolis,-6,-14
DL,12892,12478,Los Angeles International,John F. Kennedy International,CA,NY,Los Angeles,New York,-5,-17
DL,14307,10397,Theodore Francis Green State,Hartsfield-Jackson Atlanta International,RI,GA,Providence,Atlanta,-5,0
DL,13204,13244,Orlando International,Memphis International,FL,TN,Orlando,Memphis,-1,-4
DL,10792,10397,Buffalo Niagara International,Hartsfield-Jackson Atlanta International,NY,GA,Buffalo,Atlanta,-7,-16
DL,10397,11433,Hartsfield-Jackson Atlanta International,Detroit Metro Wayne County,GA,MI,Atlanta,Detroit,21,19
DL,14869,11292,Salt Lake City International,Denver International,UT,CO,Salt Lake City,Denver,-2,-10
DL,13931,10397,Norfolk International,Hartsfield-Jackson Atlanta International,VA,GA,Norfolk,Atlanta,-7,-11
DL,12478,11697,John F. Kennedy International,Fort Lauderdale-Hollywood International,NY,FL,New York,Fort Lauderdale,-1,-10
DL,10397,13198,Hartsfield-Jackson Atlanta International,Kansas City International,GA,MO,Atlanta,Kansas City,-2,-16
DL,13198,10397,Kansas City International,Hartsfield-Jackson Atlanta International,MO,GA,Kansas City,Atlanta,-6,8
DL,13487,10529,Minneapolis-St Paul International,Bradley International,MN,CT,Minneapolis,Hartford,-5,-18
DL,12478,14869,John F. Kennedy International,Salt Lake City International,NY,UT,New York,Salt Lake City,-3,-9
DL,10397,11066,Hartsfield-Jackson Atlanta International,Port Columbus International,GA,OH,Atlanta,Columbus,-1,5
DL,11066,10397,Port Columbus International,Hartsfield-Jackson Atlanta International,OH,GA,Columbus,Atlanta,10,17
DL,10397,13495,Hartsfield-Jackson Atlanta International,Louis Armstrong New Orleans International,GA,LA,Atlanta,New Orleans,7,-2
DL,13495,10397,Louis Armstrong New Orleans International,Hartsfield-Jackson Atlanta International,LA,GA,New Orleans,Atlanta,-3,-3
DL,12953,13244,LaGuardia,Memphis International,NY,TN,New York,Memphis,-8,-18
DL,10397,13244,Hartsfield-Jackson Atlanta International,Memphis International,GA,TN,Atlanta,Memphis,1,-1
DL,11433,13930,Detroit Metro Wayne County,Chicago O'Hare International,MI,IL,Detroit,Chicago,-1,9
DL,13930,11433,Chicago O'Hare International,Detroit Metro Wayne County,IL,MI,Chicago,Detroit,-5,-7
DL,13487,11298,Minneapolis-St Paul International,Dallas/Fort Worth International,MN,TX,Minneapolis,Dallas/Fort Worth,-3,-19
DL,10397,14027,Hartsfield-Jackson Atlanta International,Palm Beach International,GA,FL,Atlanta,West Palm Beach/Palm Beach,-4,-8
DL,10397,12953,Hartsfield-Jackson Atlanta International,LaGuardia,GA,NY,Atlanta,New York,-1,-17
DL,10397,11697,Hartsfield-Jackson Atlanta International,Fort Lauderdale-Hollywood International,GA,FL,Atlanta,Fort Lauderdale,10,2
DL,11697,10397,Fort Lauderdale-Hollywood International,Hartsfield-Jackson Atlanta International,FL,GA,Fort Lauderdale,Atlanta,6,2
DL,10397,14908,Hartsfield-Jackson Atlanta International,John Wayne Airport-Orange County,GA,CA,Atlanta,Santa Ana,-1,-18
DL,10397,11433,Hartsfield-Jackson Atlanta International,Detroit Metro Wayne County,GA,MI,Atlanta,Detroit,8,-1
DL,13487,11057,Minneapolis-St Paul International,Charlotte Douglas International,MN,NC,Minneapolis,Charlotte,-2,-20
DL,10397,13495,Hartsfield-Jackson Atlanta International,Louis Armstrong New Orleans International,GA,LA,Atlanta,New Orleans,-1,-14
DL,13495,10397,Louis Armstrong New Orleans International,Hartsfield-Jackson Atlanta International,LA,GA,New Orleans,Atlanta,0,-7
DL,10397,14492,Hartsfield-Jackson Atlanta International,Raleigh-Durham International,GA,NC,Atlanta,Raleigh/Durham,-3,-15
DL,10397,14122,Hartsfield-Jackson Atlanta International,Pittsburgh International,GA,PA,Atlanta,Pittsburgh,7,4
DL,14122,10397,Pittsburgh International,Hartsfield-Jackson Atlanta International,PA,GA,Pittsburgh,Atlanta,22,21
DL,10397,14122,Hartsfield-Jackson Atlanta International,Pittsburgh International,GA,PA,Atlanta,Pittsburgh,-1,-11
DL,14869,12892,Salt Lake City International,Los Angeles International,UT,CA,Salt Lake City,Los Angeles,-3,13
DL,10821,13487,Baltimore/Washington International Thurgood Marshall,Minneapolis-St Paul International,MD,MN,Baltimore,Minneapolis,-5,-8
DL,14635,10397,Southwest Florida International,Hartsfield-Jackson Atlanta International,FL,GA,Fort Myers,Atlanta,-9,-12
DL,11193,13204,Cincinnati/Northern Kentucky International,Orlando International,OH,FL,Cincinnati,Orlando,18,23
DL,10397,13495,Hartsfield-Jackson Atlanta International,Louis Armstrong New Orleans International,GA,LA,Atlanta,New Orleans,-5,-19
DL,10397,13930,Hartsfield-Jackson Atlanta International,Chicago O'Hare International,GA,IL,Atlanta,Chicago,29,22
DL,10397,14524,Hartsfield-Jackson Atlanta International,Richmond International,GA,VA,Atlanta,Richmond,110,96
DL,14524,10397,Richmond International,Hartsfield-Jackson Atlanta International,VA,GA,Richmond,Atlanta,94,79
DL,10423,10397,Austin - Bergstrom International,Hartsfield-Jackson Atlanta International,TX,GA,Austin,Atlanta,-1,-2
DL,10397,10423,Hartsfield-Jackson Atlanta International,Austin - Bergstrom International,GA,TX,Atlanta,Austin,-1,-1
DL,13495,12953,Louis Armstrong New Orleans International,LaGuardia,LA,NY,New Orleans,New York,-2,-2
DL,11292,12478,Denver International,John F. Kennedy International,CO,NY,Denver,New York,15,24
DL,10397,11066,Hartsfield-Jackson Atlanta International,Port Columbus International,GA,OH,Atlanta,Columbus,8,10
DL,11066,10397,Port Columbus International,Hartsfield-Jackson Atlanta International,OH,GA,Columbus,Atlanta,0,-4
DL,11433,11278,Detroit Metro Wayne County,Ronald Reagan Washington National,MI,DC,Detroit,Washington,-2,-16
DL,10397,11292,Hartsfield-Jackson Atlanta International,Denver International,GA,CO,Atlanta,Denver,11,1
DL,11292,10397,Denver International,Hartsfield-Jackson Atlanta International,CO,GA,Denver,Atlanta,5,1
DL,10397,11292,Hartsfield-Jackson Atlanta International,Denver International,GA,CO,Atlanta,Denver,12,1
DL,11292,10397,Denver International,Hartsfield-Jackson Atlanta International,CO,GA,Denver,Atlanta,5,7
DL,10397,14635,Hartsfield-Jackson Atlanta International,Southwest Florida International,GA,FL,Atlanta,Fort Myers,-3,-20
DL,14635,10397,Southwest Florida International,Hartsfield-Jackson Atlanta International,FL,GA,Fort Myers,Atlanta,-6,0
DL,11618,13487,Newark Liberty International,Minneapolis-St Paul International,NJ,MN,Newark,Minneapolis,-5,-17
DL,14100,11433,Philadelphia International,Detroit Metro Wayne County,PA,MI,Philadelphia,Detroit,77,61
DL,10693,10397,Nashville International,Hartsfield-Jackson Atlanta International,TN,GA,Nashville,Atlanta,-5,-8
DL,14869,14908,Salt Lake City International,John Wayne Airport-Orange County,UT,CA,Salt Lake City,Santa Ana,0,-5
DL,13871,10397,Eppley Airfield,Hartsfield-Jackson Atlanta International,NE,GA,Omaha,Atlanta,-6,-9
DL,11298,13487,Dallas/Fort Worth International,Minneapolis-St Paul International,TX,MN,Dallas/Fort Worth,Minneapolis,-5,-3
DL,15304,13487,Tampa International,Minneapolis-St Paul International,FL,MN,Tampa,Minneapolis,-4,-9
DL,11433,11057,Detroit Metro Wayne County,Charlotte Douglas International,MI,NC,Detroit,Charlotte,-3,4
DL,13487,10821,Minneapolis-St Paul International,Baltimore/Washington International Thurgood Marshall,MN,MD,Minneapolis,Baltimore,-4,-17
DL,10821,13487,Baltimore/Washington International Thurgood Marshall,Minneapolis-St Paul International,MD,MN,Baltimore,Minneapolis,-2,-16
DL,14635,10397,Southwest Florida International,Hartsfield-Jackson Atlanta International,FL,GA,Fort Myers,Atlanta,-6,5
DL,10397,14869,Hartsfield-Jackson Atlanta International,Salt Lake City International,GA,UT,Atlanta,Salt Lake City,2,-5
DL,10397,14524,Hartsfield-Jackson Atlanta International,Richmond International,GA,VA,Atlanta,Richmond,44,55
DL,14524,10397,Richmond International,Hartsfield-Jackson Atlanta International,VA,GA,Richmond,Atlanta,115,111
DL,14570,14869,Reno/Tahoe International,Salt Lake City International,NV,UT,Reno,Salt Lake City,-3,-11
DL,11066,13487,Port Columbus International,Minneapolis-St Paul International,OH,MN,Columbus,Minneapolis,48,46
DL,10397,14057,Hartsfield-Jackson Atlanta International,Portland International,GA,OR,Atlanta,Portland,-5,-17
DL,13487,13198,Minneapolis-St Paul International,Kansas City International,MN,MO,Minneapolis,Kansas City,-3,-9
DL,13198,13487,Kansas City International,Minneapolis-St Paul International,MO,MN,Kansas City,Minneapolis,-8,-11
DL,14869,11298,Salt Lake City International,Dallas/Fort Worth International,UT,TX,Salt Lake City,Dallas/Fort Worth,8,6
DL,11433,14492,Detroit Metro Wayne County,Raleigh-Durham International,MI,NC,Detroit,Raleigh/Durham,-5,-12
DL,14492,11433,Raleigh-Durham International,Detroit Metro Wayne County,NC,MI,Raleigh/Durham,Detroit,-2,-16
DL,11433,14747,Detroit Metro Wayne County,Seattle/Tacoma International,MI,WA,Detroit,Seattle,-1,-21
DL,14747,11433,Seattle/Tacoma International,Detroit Metro Wayne County,WA,MI,Seattle,Detroit,-2,-8
DL,11433,14869,Detroit Metro Wayne County,Salt Lake City International,MI,UT,Detroit,Salt Lake City,-6,-11
DL,12892,13198,Los Angeles International,Kansas City International,CA,MO,Los Angeles,Kansas City,-3,-17
DL,14869,11433,Salt Lake City International,Detroit Metro Wayne County,UT,MI,Salt Lake City,Detroit,-6,-19
DL,12892,10397,Los Angeles International,Hartsfield-Jackson Atlanta International,CA,GA,Los Angeles,Atlanta,12,5
DL,10397,14771,Hartsfield-Jackson Atlanta International,San Francisco International,GA,CA,Atlanta,San Francisco,8,11
DL,10397,14057,Hartsfield-Jackson Atlanta International,Portland International,GA,OR,Atlanta,Portland,0,-20
DL,13487,14122,Minneapolis-St Paul International,Pittsburgh International,MN,PA,Minneapolis,Pittsburgh,-7,-14
DL,14122,13487,Pittsburgh International,Minneapolis-St Paul International,PA,MN,Pittsburgh,Minneapolis,-1,-6
DL,14122,13487,Pittsburgh International,Minneapolis-St Paul International,PA,MN,Pittsburgh,Minneapolis,-7,-15
DL,14771,14869,San Francisco International,Salt Lake City International,CA,UT,San Francisco,Salt Lake City,-2,-12
DL,11057,13487,Charlotte Douglas International,Minneapolis-St Paul International,NC,MN,Charlotte,Minneapolis,2,-2
DL,13487,13871,Minneapolis-St Paul International,Eppley Airfield,MN,NE,Minneapolis,Omaha,-7,-10
DL,13871,13487,Eppley Airfield,Minneapolis-St Paul International,NE,MN,Omaha,Minneapolis,-3,-14
DL,14869,13198,Salt Lake City International,Kansas City International,UT,MO,Salt Lake City,Kansas City,-9,-18
DL,14869,11298,Salt Lake City International,Dallas/Fort Worth International,UT,TX,Salt Lake City,Dallas/Fort Worth,-1,2
DL,11298,14869,Dallas/Fort Worth International,Salt Lake City International,TX,UT,Dallas/Fort Worth,Salt Lake City,15,1
DL,11433,13930,Detroit Metro Wayne County,Chicago O'Hare International,MI,IL,Detroit,Chicago,75,60
DL,13930,11433,Chicago O'Hare International,Detroit Metro Wayne County,IL,MI,Chicago,Detroit,31,18
DL,11433,10693,Detroit Metro Wayne County,Nashville International,MI,TN,Detroit,Nashville,-2,-14
DL,11433,14057,Detroit Metro Wayne County,Portland International,MI,OR,Detroit,Portland,-1,-11
DL,14057,11433,Portland International,Detroit Metro Wayne County,OR,MI,Portland,Detroit,3,19
DL,14635,10397,Southwest Florida International,Hartsfield-Jackson Atlanta International,FL,GA,Fort Myers,Atlanta,120,109
DL,12478,13303,John F. Kennedy International,Miami International,NY,FL,New York,Miami,16,-15
